,Gene_Id,Gene_Symbol,Gene_Description,Disease_Id,DiseaseName,PsychiatricDisorder,type,diseaseClassMSH,diseaseClassNameMSH,doClassId,doClassName,umlsSemanticTypeId,umlsSemanticTypeName,HGNC ID,Ensembl gene ID
13,5496,PPM1G,"PROTEIN PHOSPHATASE, MG2+/MN2+ DEPENDENT, 1G",C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:9278,ENSG00000115241
14,6303,SAT1,SPERMIDINE/SPERMINE N1-ACETYLTRANSFERASE 1,C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:10540,ENSG00000130066
15,9705,ST18,"SUPPRESSION OF TUMORIGENICITY 18, ZINC FINGER",C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:18695,ENSG00000147488
16,50838,TAS2R13,"TASTE RECEPTOR, TYPE 2, MEMBER 13",C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:14919,ENSG00000212128
17,121278,TPH2,TRYPTOPHAN HYDROXYLASE 2,C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:20692,ENSG00000139287
18,7450,VWF,VON WILLEBRAND FACTOR,C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:12726,ENSG00000110799
54,28,ABO,"ABO BLOOD GROUP (TRANSFERASE A, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE; TRANSFERASE B, ALPHA 1-3-GALACTOSYLTRANSFERASE)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:79,ENSG00000175164
55,1636,ACE,ANGIOTENSIN I CONVERTING ENZYME,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:2707,ENSG00000159640
57,111,ADCY5,ADENYLATE CYCLASE 5,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:236,ENSG00000173175
58,113,ADCY7,ADENYLATE CYCLASE 7,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:238,ENSG00000121281
59,124,ADH1A,"ALCOHOL DEHYDROGENASE 1A (CLASS I), ALPHA POLYPEPTIDE",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:249,ENSG00000187758
60,125,ADH1B,"ALCOHOL DEHYDROGENASE 1B (CLASS I), BETA POLYPEPTIDE",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:250,ENSG00000196616
61,126,ADH1C,"ALCOHOL DEHYDROGENASE 1C (CLASS I), GAMMA POLYPEPTIDE",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:251,ENSG00000248144
62,127,ADH4,"ALCOHOL DEHYDROGENASE 4 (CLASS II), PI POLYPEPTIDE",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:252,ENSG00000198099
63,128,ADH5,"ALCOHOL DEHYDROGENASE 5 (CLASS III), CHI POLYPEPTIDE",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:253,ENSG00000197894
64,130,ADH6,ALCOHOL DEHYDROGENASE 6 (CLASS V),C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:255,ENSG00000172955
65,131,ADH7,"ALCOHOL DEHYDROGENASE 7 (CLASS IV), MU OR SIGMA POLYPEPTIDE",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:256,ENSG00000196344
66,150,ADRA2A,ADRENOCEPTOR ALPHA 2A,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:281,ENSG00000150594
67,26523,AGO1,ARGONAUTE RISC CATALYTIC COMPONENT 1,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:3262,ENSG00000092847
68,27161,AGO2,ARGONAUTE RISC CATALYTIC COMPONENT 2,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:3263,ENSG00000123908
69,10327,AKR1A1,"ALDO-KETO REDUCTASE FAMILY 1, MEMBER A1 (ALDEHYDE REDUCTASE)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:380,ENSG00000117448
70,8644,AKR1C3,"ALDO-KETO REDUCTASE FAMILY 1, MEMBER C3",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:386,ENSG00000196139
71,1109,AKR1C4,"ALDO-KETO REDUCTASE FAMILY 1, MEMBER C4",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:387,ENSG00000198610
72,216,ALDH1A1,"ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A1",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:402,ENSG00000165092
73,217,ALDH2,ALDEHYDE DEHYDROGENASE 2 FAMILY (MITOCHONDRIAL),C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:404,ENSG00000111275
74,222,ALDH3B2,"ALDEHYDE DEHYDROGENASE 3 FAMILY, MEMBER B2",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:411,ENSG00000132746
75,238,ALK,ANAPLASTIC LYMPHOMA RECEPTOR TYROSINE KINASE,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:427,ENSG00000171094
76,64682,ANAPC1,ANAPHASE PROMOTING COMPLEX SUBUNIT 1,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:19988,ENSG00000153107
77,255239,ANKK1,ANKYRIN REPEAT AND KINASE DOMAIN CONTAINING 1,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:21027,ENSG00000170209
78,56311,ANKRD7,ANKYRIN REPEAT DOMAIN 7,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:18588,ENSG00000106013
79,348,APOE,APOLIPOPROTEIN E,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:613,ENSG00000130203
80,367,AR,ANDROGEN RECEPTOR,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:644,ENSG00000169083
81,23237,ARC,ACTIVITY-REGULATED CYTOSKELETON-ASSOCIATED PROTEIN,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:648,ENSG00000198576
82,410,ARSA,ARYLSULFATASE A,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:713,ENSG00000100299
83,460,ASTN1,ASTROTACTIN 1,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:773,ENSG00000152092
84,9531,BAG3,BCL2-ASSOCIATED ATHANOGENE 3,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:939,ENSG00000151929
85,627,BDNF,BRAIN-DERIVED NEUROTROPHIC FACTOR,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1033,ENSG00000176697
86,635,BHMT,BETAINE--HOMOCYSTEINE S-METHYLTRANSFERASE,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1047,ENSG00000145692
88,10438,C1D,C1D NUCLEAR RECEPTOR COREPRESSOR,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:29911,ENSG00000197223
89,796,CALCA,CALCITONIN-RELATED POLYPEPTIDE ALPHA,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1437,ENSG00000110680
90,815,CAMK2A,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II ALPHA,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1460,ENSG00000070808
91,814,CAMK4,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE IV,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1464,ENSG00000152495
93,9607,CARTPT,CART PREPROPEPTIDE,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:24323,ENSG00000164326
95,847,CAT,CATALASE,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1516,ENSG00000121691
96,885,CCK,CHOLECYSTOKININ,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1569,ENSG00000187094
97,886,CCKAR,CHOLECYSTOKININ A RECEPTOR,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1570,ENSG00000163394
98,1008,CDH10,"CADHERIN 10, TYPE 2 (T2-CADHERIN)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1749,ENSG00000040731
99,1009,CDH11,"CADHERIN 11, TYPE 2, OB-CADHERIN (OSTEOBLAST)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1750,ENSG00000140937
100,1010,CDH12,"CADHERIN 12, TYPE 2 (N-CADHERIN 2)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1751,ENSG00000154162
101,1012,CDH13,CADHERIN 13,C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1753,ENSG00000140945
102,1013,CDH15,"CADHERIN 15, TYPE 1, M-CADHERIN (MYOTUBULE)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1754,ENSG00000129910
103,1016,CDH18,"CADHERIN 18, TYPE 2",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1757,ENSG00000145526
104,1003,CDH5,"CADHERIN 5, TYPE 2 (VASCULAR ENDOTHELIUM)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1764,ENSG00000179776
105,1006,CDH8,"CADHERIN 8, TYPE 2",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1767,ENSG00000150394
106,1007,CDH9,"CADHERIN 9, TYPE 2 (T1-CADHERIN)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1768,ENSG00000113100
107,1080,CFTR,"CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (ATP-BINDING CASSETTE SUB-FAMILY C, MEMBER 7)",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1884,ENSG00000001626
108,1129,CHRM2,"CHOLINERGIC RECEPTOR, MUSCARINIC 2",C0001973,"ALCOHOLIC INTOXICATION, CHRONIC",ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:1951,ENSG00000181072
